"M","D","ɛ","R"
5.972e24,1.753465037110095e10,1.0e-18,1.5742861886441708e7
5.972e24,2.0552403986413616e10,1.0e-18,1.4609557640433311e7
5.972e24,2.4089519932311737e10,1.0e-18,1.375326804403076e7
5.972e24,2.8235381659141136e10,1.0e-18,1.3032229619924445e7
5.972e24,3.3094755714414124e10,1.0e-18,1.2383417142277118e7
5.972e24,3.879043920917388e10,1.0e-18,1.1866883545443416e7
5.972e24,4.5466362919405464e10,1.0e-18,1.1450650114178658e7
5.972e24,5.329122843832614e10,1.0e-18,1.1068238957822323e7
5.972e24,6.246277129094356e10,1.0e-18,1.0707106552496552e7
5.972e24,7.32127577404232e10,1.0e-18,1.0414354315072298e7
5.972e24,8.581284155631276e10,1.0e-18,1.0152875350356102e7
5.972e24,1.0058142874603061e11,1.0e-18,9.934745580032468e6
5.972e24,1.1789172372242242e11,1.0e-18,9.727769832760096e6
5.972e24,1.3818116023523352e11,1.0e-18,9.566244638517499e6
5.972e24,1.6196245538755908e11,1.0e-18,9.393327818483114e6
5.972e24,1.8983656607392163e11,1.0e-18,9.25139154458046e6
5.972e24,2.2250787525111063e11,1.0e-18,9.097144597485662e6
5.972e24,2.608019918011185e11,1.0e-18,8.95686203865707e6
5.972e24,3.056866137913986e11,1.0e-18,8.843328321151435e6
5.972e24,3.582959823501277e11,1.0e-18,8.190728634022176e6
5.972e24,4.199595441095997e11,1.0e-18,8.102499608382583e6
5.972e24,4.922355465219763e11,1.0e-18,8.033843346096575e6
5.972e24,5.769504150060564e11,1.0e-18,7.961593104757369e6
5.972e24,6.762449069914958e11,1.0e-18,7.884458226278424e6
5.972e24,7.92628209180043e11,1.0e-18,7.813394573025405e6
5.972e24,9.290413450697795e11,1.0e-18,7.755225145295262e6
5.972e24,1.0889314950598782e12,1.0e-18,7.706945694036782e6
5.972e24,1.276339107216255e12,1.0e-18,7.672782221592963e6
5.972e24,1.4960000000000024e12,1.0e-18,7.650416675627232e6
1.7916e25,1.4960000000000023e10,1.0e-10,1.5341131726458669e7
1.7916e25,1.753465037110095e10,1.0e-10,1.5185128419905901e7
1.7916e25,2.0552403986413616e10,1.0e-10,1.5058613514274359e7
1.7916e25,2.4089519932311737e10,1.0e-10,1.4947313737735152e7
1.7916e25,2.8235381659141136e10,1.0e-10,1.4863885713070631e7
1.7916e25,3.3094755714414124e10,1.0e-10,1.4791700099676847e7
1.7916e25,3.879043920917388e10,1.0e-10,1.4728529134258628e7
1.7916e25,4.5466362919405464e10,1.0e-10,1.4687984602615237e7
1.7916e25,5.329122843832614e10,1.0e-10,1.4639377734780312e7
1.7916e25,6.246277129094356e10,1.0e-10,1.4597060686692595e7
1.7916e25,7.32127577404232e10,1.0e-10,1.4542701931715012e7
1.7916e25,8.581284155631276e10,1.0e-10,1.4527088105224073e7
