NAME,PER,R,SEP,DATE,PLANETDISCMETH,MASS,MSINI
# ,day,rearth,au,,,mearth,mearth
alpha Cen B b,3.2357,,0.0418506,2012,RV,1.1271016526062068,1.1271016526062068
Kepler-1183 b,28.5057189,2.8246631441965473,0.182625,2016,Transit,7.633827879883499,
mu Ara b,643.25,,1.5273,2001,RV,554.7552515818018,554.7552515818018
TYC 1422-614-1 c,559.3,,1.39588,2015,RV,3178.166114291453,3178.166114291453
Kepler-1109 b,37.6467384,2.1857512425330428,0.223437,2016,Transit,5.204977990358541,
Kepler-830 b,11.29695137,1.7037650711026795,0.10078,2016,Transit,4.003949015767801,
WASP-45 b,3.1260876,13.002417647888867,0.0405459,2012,Transit,319.90466656623477,318.41410665863214
Kepler-916 b,32.2968798,1.7598099747573728,0.188012,2016,Transit,4.1252913980114485,
Kepler-725 b,39.64317811,10.626113732929868,0.218045,2016,Transit,198.16151757557495,
Kepler-428 b,3.52563254,12.105699189413777,0.0432987,2010,Transit,403.62709651501456,408.15916139399417
Kepler-1171 b,1.44259224,2.555647606654019,0.0291019,2016,Transit,6.4629279200562415,
Kepler-1093 c,89.722292,1.961571627914269,0.408538,2016,Transit,4.597662227578588,
HD 73526 c,377.8,,1.02831,2006,RV,769.4022346088179,769.4022346088179
HD 108341 b,1129,,2.00715,2015,RV,1105.143702922567,1105.143702922567
Kepler-1330 b,10.10769068,1.647720167447986,0.090566,2016,Transit,3.886102616249874,
Kepler-382 c,12.162701,1.5899939166836519,0.103505,2014,Transit,3.7680337451039465,
Kepler-667 b,41.43962808,4.730189868456123,0.227107,2016,Transit,23.50911721904188,
Kepler-495 b,3.41303622,5.234594001348364,0.0421891,2016,Transit,28.965805965652304,
Kepler-333 c,24.08821,1.1099984602311033,0.163234,2014,Transit,1.3432137702119111,
Kepler-17 b,1.4857108,14.907944372148444,0.0267923,2011,Transit,788.0040408757657,787.0760163703927
14 Her b,1773.4,,2.93362,2003,RV,1657.3691342773927,1657.3691342773927
HAT-P-33 b,3.474474,18.898341512362617,0.0499317,2011,Transit,242.57543557296373,242.2859046399518
Kepler-692 b,21.81293494,3.104887662470015,0.147513,2016,Transit,9.13627412875364,
Kepler-1223 b,16.301259,1.2217788996723162,0.116802,2016,Transit,1.8764274118710453,
Kepler-1232 b,26.7839183,1.927944685721453,0.170393,2016,Transit,4.514584965351009,
Kepler-805 b,30.8638931,2.8919170285821796,0.204059,2016,Transit,7.966295837099527,
Kepler-166 c,34.260281,2.379991669619479,0.206443,2014,Transit,5.820461640052224,
Kepler-1398 b,2.78815679,0.8967184584750945,0.040381,2016,Transit,0.628364756954906,
Kepler-1629 b,3.87595807,0.773419670434769,0.0484507,2016,Transit,0.37265268956513,
Kepler-835 b,11.41909375,2.7910362020037316,0.101821,2016,Transit,7.473870779351209,
Kepler-992 b,20.16034462,1.6253022059861084,0.134576,2016,Transit,3.8398920809480765,
Kepler-1420 b,6.69960006,1.2778238033270095,0.0650994,2016,Transit,2.188656807271266,
OGLE-05-169L b,3300,,2.7,2006,Microlensing,12.712664457165813,
HIP 79431 b,111.7,,0.358346,2010,RV,671.5433217836697,671.5433217836697
Kepler-562 b,18.00931444,5.2121760398864865,0.13125,2016,Transit,28.71085347996384,
Kepler-1476 b,10.35863224,1.6701381289098634,0.0923741,2016,Transit,3.9328534397911015,
Kepler-870 b,21.3587621,2.7798272212727926,0.151158,2016,Transit,7.4214628201265445,
Kepler-1155 b,33.469743,2.028825512299901,0.205268,2016,Transit,4.769664577684041,
HD 171238 b,1523,,2.54268,2010,RV,829.1867173847544,829.1867173847544
Kepler-1292 b,3.27646405,1.8158548784120663,0.0424409,2016,Transit,4.250574706236819,
Kepler-1410 b,60.866168,1.7822279362192501,0.2596,2016,Transit,4.174902571055539,
Kepler-272 c,6.057342,1.7899957598657905,0.0650321,2014,Transit,4.19225535803957,
Kepler-157 c,13.5405,2.239991500290055,0.111181,2014,Transit,5.367731877071407,
HIP 5158 b,345.72,,0.887919,2010,RV,453.3113673797329,453.3113673797329
Kepler-661 b,6.02930132,3.071260720277199,0.0575639,2016,Transit,8.939132484684142,
